run_id,seed,Static,Additive,Joint,Timeformer,Additive_minus_Joint,Joint_minus_Additive
20260528_002,1000,-0.12743589743589745,-0.5984615384615384,-0.5689743589743591,-0.5305128205128204,-0.02948717948717927,0.02948717948717927
20260528_003,0,-0.28461538461538455,-0.5076923076923077,-0.5894871794871795,-0.5802564102564101,0.08179487179487188,-0.08179487179487188
20260528_004,1,-0.19025641025641027,-0.5556410256410256,-0.6005128205128205,-0.5394871794871794,0.044871794871794934,-0.044871794871794934
20260528_005,2,-0.23538461538461541,-0.5810256410256409,-0.4715384615384614,-0.6243589743589745,-0.10948717948717951,0.10948717948717951
20260528_006,3,-0.19025641025641016,-0.5146153846153844,-0.566153846153846,-0.5807692307692307,0.051538461538461644,-0.051538461538461644
20260528_007,4,-0.19794871794871793,-0.6184615384615384,-0.48641025641025637,-0.48641025641025626,-0.13205128205128203,0.13205128205128203
20260528_008,5,-0.14564102564102555,-0.6074358974358973,-0.5389743589743589,-0.5810256410256408,-0.06846153846153846,0.06846153846153846
20260528_009,6,-0.2664102564102565,-0.5484615384615383,-0.6953846153846153,-0.6430769230769229,0.14692307692307693,-0.14692307692307693
20260528_010,7,-0.2217948717948719,-0.434871794871795,-0.513076923076923,-0.48948717948717946,0.07820512820512798,-0.07820512820512798
20260528_011,8,-0.30717948717948723,-0.4725641025641024,-0.5253846153846153,-0.5394871794871796,0.05282051282051292,-0.05282051282051292
20260528_012,9,-0.17769230769230782,-0.5207692307692307,-0.5830769230769228,-0.6574358974358974,0.062307692307692175,-0.062307692307692175
20260528_013,10,-0.1905128205128206,-0.6223076923076922,-0.5969230769230769,-0.45666666666666667,-0.02538461538461534,0.02538461538461534
20260528_014,11,-0.23128205128205126,-0.5253846153846153,-0.6258974358974358,-0.5246153846153846,0.10051282051282051,-0.10051282051282051
20260528_015,12,-0.2548717948717949,-0.6164102564102564,-0.5599999999999998,-0.573076923076923,-0.05641025641025654,0.05641025641025654
20260528_016,13,-0.21717948717948715,-0.5489743589743589,-0.5943589743589742,-0.5846153846153845,0.04538461538461536,-0.04538461538461536
20260528_017,14,-0.13794871794871788,-0.6289743589743588,-0.5276923076923077,-0.5910256410256409,-0.10128205128205114,0.10128205128205114
20260528_018,15,-0.2958974358974359,-0.6007692307692308,-0.5725641025641025,-0.5876923076923075,-0.028205128205128327,0.028205128205128327
20260528_019,16,-0.1920512820512819,-0.5556410256410256,-0.5961538461538461,-0.5105128205128204,0.04051282051282057,-0.04051282051282057
20260528_020,17,-0.13769230769230767,-0.5597435897435896,-0.4753846153846154,-0.4912820512820514,-0.08435897435897421,0.08435897435897421
20260528_021,18,-0.26692307692307693,-0.5833333333333333,-0.5548717948717949,-0.5787179487179486,-0.028461538461538316,0.028461538461538316
20260528_022,19,-0.30076923076923073,-0.6087179487179488,-0.5143589743589744,-0.57025641025641,-0.09435897435897445,0.09435897435897445
20260528_023,20,-0.1958974358974359,-0.5156410256410258,-0.4702564102564101,-0.615128205128205,-0.04538461538461569,0.04538461538461569
20260528_024,21,-0.23641025641025643,-0.6815384615384614,-0.6710256410256409,-0.6653846153846154,-0.010512820512820542,0.010512820512820542
20260528_025,22,-0.2292307692307693,-0.5433333333333332,-0.5392307692307692,-0.6143589743589744,-0.004102564102564044,0.004102564102564044
20260528_026,23,-0.317948717948718,-0.597179487179487,-0.49282051282051276,-0.6102564102564103,-0.10435897435897423,0.10435897435897423
20260528_027,24,-0.2430769230769232,-0.5369230769230768,-0.6269230769230769,-0.5666666666666667,0.09000000000000008,-0.09000000000000008
20260528_028,25,-0.18641025641025638,-0.6420512820512818,-0.5715384615384614,-0.5635897435897435,-0.07051282051282037,0.07051282051282037
20260528_029,26,-0.16564102564102562,-0.604102564102564,-0.5676923076923077,-0.4287179487179487,-0.0364102564102563,0.0364102564102563
20260528_030,27,-0.2294871794871794,-0.49076923076923074,-0.5492307692307692,-0.4012820512820512,0.058461538461538454,-0.058461538461538454
20260528_031,28,-0.2807692307692307,-0.6256410256410256,-0.6176923076923078,-0.5753846153846152,-0.007948717948717876,0.007948717948717876
20260528_032,29,-0.2105128205128205,-0.5251282051282051,-0.6017948717948718,-0.5625641025641026,0.07666666666666666,-0.07666666666666666
