model,model_label,metric,class,n,mean,sd,ci95_low,ci95_high
Additive,Additive,directed_contrast_drift_minus_stable,drift-stable,31,4.236978190224018,1.4113252239306697,3.740154463743953,4.733801916704082
Additive,Additive,directed_drift,bifurc,31,12.317005180955483,1.7267067598425254,11.70915883029363,12.924851531617337
Additive,Additive,directed_drift,drift,31,13.679586688681477,1.6084645949847507,13.11336470069352,14.245808676669434
Additive,Additive,directed_drift,stable,31,9.442608498457458,1.7385109008512238,8.830606778625977,10.05461021828894
Additive,Additive,path_contrast_drift_minus_stable,drift-stable,31,-1.0060259955969448,0.23901036834963216,-1.090163953211079,-0.9218880379828107
Additive,Additive,path_length,bifurc,31,2.797312557216614,0.24625049707344307,2.71062588321042,2.8839992312228078
Additive,Additive,path_length,drift,31,2.585640258487734,0.2713917692160216,2.4901031931595905,2.6811773238158776
Additive,Additive,path_length,stable,31,3.5916662540846795,0.3175232680813463,3.479889683654693,3.703442824514666
Additive,Additive,spearman_bifurc,bifurc,31,0.8166764185527167,0.026609174232867287,0.8073092869541534,0.82604355015128
Additive,Additive,spearman_drift,drift,31,0.890603075246641,0.0320338033252244,0.8793263310409062,0.9018798194523757
Joint,Token-Time,directed_contrast_drift_minus_stable,drift-stable,31,4.828092508654922,1.7844881878537464,4.19990557036726,5.456279446942583
Joint,Token-Time,directed_drift,bifurc,31,13.108201460595229,2.6354698177918627,12.180446529485593,14.035956391704865
Joint,Token-Time,directed_drift,drift,31,15.21402768848404,2.171933217179169,14.449449874435278,15.978605502532801
Joint,Token-Time,directed_drift,stable,31,10.385935179829117,1.7504534561223153,9.769729365354623,11.00214099430361
Joint,Token-Time,path_contrast_drift_minus_stable,drift-stable,31,-0.9715320967308683,0.4896064959106429,-1.1438865049725802,-0.7991776884891564
Joint,Token-Time,path_length,bifurc,31,2.6177903527634276,0.4060966557536797,2.47483361224637,2.7607470932804854
Joint,Token-Time,path_length,drift,31,2.321019740342989,0.45445833715966594,2.161038411610859,2.4810010690751185
Joint,Token-Time,path_length,stable,31,3.292551837073857,0.5399380813664386,3.102479382401887,3.482624291745827
Joint,Token-Time,spearman_bifurc,bifurc,31,0.7873712561825389,0.06776704220118705,0.7635154688218083,0.8112270435432695
Joint,Token-Time,spearman_drift,drift,31,0.8796770938212772,0.05398539715948857,0.8606728092400212,0.8986813784025333
Static,Standard,directed_contrast_drift_minus_stable,drift-stable,31,1.4411373636354843,0.8758805180025343,1.1328043050840664,1.7494704221869022
Static,Standard,directed_drift,bifurc,31,1.5130785504798085,1.7959729939809905,0.88084865732867,2.145308443630947
Static,Standard,directed_drift,drift,31,1.6588921562077537,0.7126039177937689,1.4080367701213603,1.909747542294147
Static,Standard,directed_drift,stable,31,0.2177547925722695,0.6719135590380853,-0.018776513333294775,0.4542860984778338
Static,Standard,path_contrast_drift_minus_stable,drift-stable,31,-0.34024012282776134,0.5211558142988538,-0.523700723790866,-0.15677952186465666
Static,Standard,path_length,bifurc,31,0.7343937378067714,0.4321955138110015,0.582249510453193,0.8865379651603499
Static,Standard,path_length,drift,31,0.5822087308001375,0.4221248574172173,0.4336096402816574,0.7308078213186175
Static,Standard,path_length,stable,31,0.9224488536278987,0.6848755769090304,0.6813545753385428,1.1635431319172547
Static,Standard,spearman_bifurc,bifurc,31,0.3156964884729609,0.09955234577701262,0.2806514353766825,0.35074154156923926
Static,Standard,spearman_drift,drift,31,0.3704617526187723,0.1086387918316834,0.33221803070201555,0.408705474535529
Timeformer,Memory-Augmented,directed_contrast_drift_minus_stable,drift-stable,31,4.941167755935703,1.79956208752758,4.3076744071329065,5.574661104738499
Timeformer,Memory-Augmented,directed_drift,bifurc,31,13.650388488915112,2.716045844555737,12.694268669824313,14.606508308005912
Timeformer,Memory-Augmented,directed_drift,drift,31,15.595468268291125,2.4701773807447274,14.725900637415531,16.46503589916672
Timeformer,Memory-Augmented,directed_drift,stable,31,10.654300512355421,2.0844524658410144,9.920518231567272,11.388082793143571
Timeformer,Memory-Augmented,path_contrast_drift_minus_stable,drift-stable,31,-0.9233811115309023,0.5766585298155645,-1.1263801331820296,-0.720382089879775
Timeformer,Memory-Augmented,path_length,bifurc,31,2.4886916373493713,0.4205691040851346,2.3406402130631836,2.636743061635559
Timeformer,Memory-Augmented,path_length,drift,31,2.1562489062923214,0.5108087795484834,1.9764307346400034,2.336067077944639
Timeformer,Memory-Augmented,path_length,stable,31,3.079630017823224,0.6895839791025062,2.8368782576977436,3.3223817779487046
Timeformer,Memory-Augmented,spearman_bifurc,bifurc,31,0.8007635436769444,0.06048435933380934,0.7794714528898965,0.8220556344639922
Timeformer,Memory-Augmented,spearman_drift,drift,31,0.8875162609629647,0.05028536137229013,0.8698144866300451,0.9052180352958842
