comparison,left,right,scope,metric,n,mean,sd,ci95_low,ci95_high,t,p_two_sided
Token-Time - Additive,Joint,Additive,pooled,silhouette_cosine,31,-0.0006766453114969115,0.019607309298205543,-0.007578935660032645,0.006225645037038822,-0.19214271547056766,0.8489251364028514
Token-Time - Additive,Joint,Additive,pooled,centroid_cosine_distance,31,-0.006715478435639412,0.04682689554806618,-0.023199781522697284,0.009768824651418458,-0.7984770520379015,0.43086972616603864
Token-Time - Additive,Joint,Additive,pooled,semantic_axis_auroc,31,-0.03409818228366614,0.06511808937069813,-0.057021468336974426,-0.011174896230357851,-2.915482410356275,0.006658814363618214
Token-Time - Additive,Joint,Additive,subject_mean,silhouette_cosine,31,0.008288810881241525,0.035925532318709645,-0.004357924640604511,0.020935546403087563,1.2846057624253977,0.20876122123707944
Token-Time - Additive,Joint,Additive,subject_mean,centroid_cosine_distance,31,-0.01243578440720035,0.05455004297879303,-0.03163883921896851,0.006767270404567814,-1.2692843756908687,0.21409873844739857
Token-Time - Additive,Joint,Additive,subject_mean,semantic_axis_auroc,31,-0.017025089605734785,0.05785848145499252,-0.03739280207734238,0.0033426228658728074,-1.6383369351740655,0.11179891787830572
Memory-Augmented - Token-Time,Timeformer,Joint,pooled,silhouette_cosine,31,0.001442140644235957,0.021847184079206328,-0.006248644741925628,0.009132926030397542,0.36753017029814805,0.7158038120485669
Memory-Augmented - Token-Time,Timeformer,Joint,pooled,centroid_cosine_distance,31,-0.01771651352605512,0.05346723290245705,-0.03653839061345929,0.0011053635613490452,-1.8448939151932946,0.07494638389607142
Memory-Augmented - Token-Time,Timeformer,Joint,pooled,semantic_axis_auroc,31,-0.0077124935995903495,0.08224049168364596,-0.03666331716102689,0.02123832996184619,-0.5221436075253055,0.6054047630905177
Memory-Augmented - Token-Time,Timeformer,Joint,subject_mean,silhouette_cosine,31,0.001889783451934495,0.04536121718891897,-0.014078562170560638,0.01785812907442963,0.23195737701053373,0.8181461357762055
Memory-Augmented - Token-Time,Timeformer,Joint,subject_mean,centroid_cosine_distance,31,-0.02769499685495131,0.0675226147308124,-0.051464739295186954,-0.003925254414715671,-2.2836677331353714,0.02964142154182762
Memory-Augmented - Token-Time,Timeformer,Joint,subject_mean,semantic_axis_auroc,31,-0.002867383512544814,0.06286819067418722,-0.024998645845416785,0.01926387882032716,-0.2539426626487654,0.8012722925325362
Memory-Augmented - Additive,Timeformer,Additive,pooled,silhouette_cosine,31,0.0007654953327390456,0.019336360919894983,-0.006041414035769228,0.0075724047012473185,0.2204188084404206,0.8270381711076634
Memory-Augmented - Additive,Timeformer,Additive,pooled,centroid_cosine_distance,31,-0.024431991961694533,0.04320715161778013,-0.03964204965310952,-0.009221934270279541,-3.148357831144189,0.003698190012632201
Memory-Augmented - Additive,Timeformer,Additive,pooled,semantic_axis_auroc,31,-0.041810675883256494,0.05813133622221359,-0.06227444043410141,-0.02134691133241158,-4.004586962851818,0.00037706156800387884
Memory-Augmented - Additive,Timeformer,Additive,subject_mean,silhouette_cosine,31,0.01017859433317602,0.039608339854179414,-0.003764586637710496,0.024121775304062537,1.4308101526244887,0.1628193604194781
Memory-Augmented - Additive,Timeformer,Additive,subject_mean,centroid_cosine_distance,31,-0.04013078126215165,0.05385793006222611,-0.05909019406106321,-0.02117136846324009,-4.148669165446559,0.0002533855853358613
Memory-Augmented - Additive,Timeformer,Additive,subject_mean,semantic_axis_auroc,31,-0.0198924731182796,0.05374406261681812,-0.03881180157122106,-0.0009731446653381375,-2.0608156049939605,0.04808239657094586
