fidelity,noise,seed,model,model_label,drift_delta,ambiguous_accuracy,test_accuracy,path_contrast,directed_contrast,spearman_drift,spearman_bifurc
0.75,0.25,1000,Additive,Additive,-0.4471635150166852,0.5928,0.8916967509025271,0.44951481987955066,4.240447318553924,0.6271585682055505,0.4957796844555519
0.75,0.25,1000,Joint,Token-Time,-0.532035595105673,0.5978,0.8712394705174489,0.697203199006617,5.299816686287523,0.8135864677689225,0.789981309406296
0.75,0.25,1001,Additive,Additive,-0.6159663865546219,0.5562,0.9133663366336634,0.4338694686690969,7.737143577800856,0.7740423471760887,0.6558360640778903
0.75,0.25,1001,Joint,Token-Time,-0.6978991596638656,0.5932,0.8849009900990099,0.2075271747178502,10.001445316606096,0.8199119290681741,0.7109055460437039
0.75,0.25,1002,Additive,Additive,-0.5521889400921658,0.5374,0.890840652446675,-0.2658568453043699,4.780614370107651,0.8551615751091818,0.7124408133301829
0.75,0.25,1002,Joint,Token-Time,-0.5910138248847927,0.5902,0.877038895859473,0.10476003674557433,7.079893900081515,0.9239993569089544,0.836494593390802
0.625,0.375,1000,Additive,Additive,-0.4636904761904762,0.6162,0.8597997138769671,-0.07137033653312486,2.6914452452744753,0.7091796409731643,0.4833465839949639
0.625,0.375,1000,Joint,Token-Time,-0.42797619047619045,0.628,0.8412017167381974,0.14092906881789014,3.5199543341994284,0.39450957839159184,0.06392855273424491
0.625,0.375,1001,Additive,Additive,-0.6288043478260867,0.6026,0.8399412628487518,-0.8311998034478165,-2.7280128747224808,0.45386362022952415,0.35445322380582184
0.625,0.375,1001,Joint,Token-Time,-0.49800724637681143,0.639,0.8046989720998532,-0.5881583844311535,-2.395724553614855,0.3903130472966814,0.2945153062271248
0.625,0.375,1002,Additive,Additive,-0.38711755233494355,0.5944,0.8290854572713643,-0.5627586668919005,6.237528819117754,0.03569935736314615,-0.058594335396592576
0.625,0.375,1002,Joint,Token-Time,-0.3476650563607087,0.6094,0.8290854572713643,-0.772021240244309,4.54887998198706,0.15459095696593925,-0.02656840141789977
0.5,0.5,1000,Additive,Additive,-0.3606719367588933,0.6068,0.824468085106383,1.17709643766284,-3.9917058795690536,0.2117807203297565,0.1817712555066483
0.5,0.5,1000,Joint,Token-Time,-0.22786561264822147,0.671,0.7624113475177305,0.3500181960562865,1.055723780145248,0.5319340835422588,0.2602097936365818
0.5,0.5,1001,Additive,Additive,-0.4295238095238096,0.608,0.8495412844036697,0.566138056417306,36.93307920396328,0.29271577620256034,0.2197059550744597
0.5,0.5,1001,Joint,Token-Time,-0.09619047619047616,0.6432,0.8055045871559633,0.4661647557591402,32.454283404598634,0.2178732940052162,0.0916115550741784
0.5,0.5,1002,Additive,Additive,-0.41485714285714287,0.5768,0.8107074569789675,1.4885811435679597,0.8608168934782348,0.0016843608854452436,-0.04705200671370666
0.5,0.5,1002,Joint,Token-Time,-0.2857142857142857,0.5962,0.7858508604206501,0.9364171654606857,0.4500410297264654,0.20977448002879262,0.32957591172223744
