fidelity,noise,metric,n,mean,sd,ci95_low,ci95_high
0.5,0.5,ambiguous_accuracy,3,0.0396,0.02272179570368507,0.013887867662651255,0.06531213233734876
0.5,0.5,directed_contrast,3,0.052619332199295155,4.779988933567093,-5.356447346936756,5.461686011335347
0.5,0.5,drift_delta,3,0.19842750486228747,0.11684623299084365,0.06620354488301511,0.33065146484155983
0.5,0.5,path_contrast,3,-0.49307184012399774,0.36713663582713385,-0.9085260537513697,-0.07761762649662579
0.5,0.5,spearman_bifurc,3,0.10899068552186546,0.2537444185880812,-0.1781481548974343,0.39612952594116524
0.5,0.5,spearman_drift,3,0.15113366671950187,0.20356438189745318,-0.07922111662489031,0.3814884500638941
0.5,0.5,test_accuracy,3,-0.04365001046489211,0.018603084910041333,-0.06470138278280897,-0.022598638146975242
0.625,0.375,ambiguous_accuracy,3,0.021066666666666678,0.013375101245722694,0.005931314789539944,0.036202018543793416
0.625,0.375,directed_contrast,3,-0.17595047569937172,1.3333232961705352,-1.6847478210626528,1.3328468696639093
0.625,0.375,drift_delta,3,0.06865462771259863,0.053849408869290856,0.0077182851280795245,0.12959097029711775
0.625,0.375,path_contrast,3,0.0820260836717565,0.2527312389362679,-0.20396623603990804,0.36801840338342107
0.625,0.375,spearman_bifurc,3,-0.1491100049535744,0.23856688645506816,-0.4190738509381208,0.12085384103097196
0.625,0.375,spearman_drift,3,-0.0864430119705407,0.21768549917906457,-0.33277734380797425,0.1598913198668928
0.625,0.375,test_accuracy,3,-0.017946762629222752,0.017630168578243795,-0.037897176475257525,0.002003651216812022
0.75,0.25,ambiguous_accuracy,3,0.03159999999999996,0.024353233871500485,0.004041721582556473,0.05915827841744345
0.75,0.25,directed_contrast,3,1.8743168788375677,0.7059819019349396,1.0754231502322906,2.6732106074428446
0.75,0.25,drift_delta,3,-0.06854324599695281,0.02577878247480629,-0.09771468451932484,-0.039371807474580786
0.75,0.25,path_contrast,3,0.13065432240858796,0.3152186420200957,-0.2260491505262375,0.4873577953434134
0.75,0.25,spearman_bifurc,3,0.1577749623257256,0.12308080293920214,0.018495922296039274,0.2970540023554119
0.75,0.25,spearman_drift,3,0.1003784210850767,0.07540072354785349,0.015054470131683012,0.1857023720384704
0.75,0.25,test_accuracy,3,-0.020908127835644552,0.00734218394651837,-0.02921659111645033,-0.012599664554838777
